customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
GIHL-1066,Male,0,No,Yes,64,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),113.45,7787.22,No
XECL-7520,Female,1,No,Yes,16,Yes,Yes,No,No,Yes,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),108.33,1753.84,No
CEON-2049,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,One year,Yes,Mailed check,34.54,2436.11,No
WNGI-9926,Male,1,Yes,No,0,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,34.63, ,Yes
QTDE-6636,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,104.19,2190.08,No
SVBJ-8453,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,81.46,1557.08,No
KZWY-6008,Female,0,No,Yes,63,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.73,3238.78,No
YTMI-2657,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),34.79,716.61,No
IEAS-9757,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,51.62,2115.56,Yes
ITQQ-9361,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,101.62,3087.38,No
CQEQ-7001,Female,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),43.81,878.13,No
BVWE-0021,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),69.93,1604.1,No
ULZF-6367,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,30.58,1583.84,Yes
QFXE-3155,Female,0,No,Yes,46,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,98.23,4917.72,No
KPPA-8523,Male,1,Yes,Yes,16,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No internet service,One year,Yes,Electronic check,98.8,1621.85,No
DSZC-2363,Female,0,Yes,No,1,Yes,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,53.23,58.53,No
IAHG-1708,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),37.82,1302.48,No
YRWJ-2698,Female,1,No,No,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,61.95,923.55,Yes
TQBA-4468,Male,0,Yes,No,31,Yes,No,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Electronic check,106.29,3602.88,No
ICSP-2375,Female,0,No,Yes,33,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,59.9,1923.57,Yes
XAXT-0735,Female,0,Yes,Yes,59,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),108.0,6781.64,No
HTCP-8281,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,109.11,3034.97,No
NRBV-2830,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),95.36,1415.57,No
DANU-3776,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Electronic check,69.25,1371.28,Yes
CQAP-2565,Female,0,No,No,30,Yes,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),84.98,2304.2,No
NFFM-2571,Male,0,No,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.76,32.85,Yes
UAOA-4232,Female,1,Yes,No,12,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,52.02,589.84,No
QQLN-4528,Male,1,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,63.73,969.85,Yes
EXQN-4203,Female,0,Yes,No,14,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34.45,440.87,No
UWAC-1895,Female,0,No,No,24,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),113.72,2999.5,No
ZCHN-7156,Male,0,No,Yes,27,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,49.71,1416.52,No
BJBZ-0708,Female,0,No,Yes,11,Yes,No,No,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),56.38,631.07,Yes
KVPG-9692,Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,29.82,1562.02,No
RYXM-9683,Female,0,No,No,57,No,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,44.57,2525.68,No
MTAH-2611,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),33.28,475.06,No
WVSY-9599,Female,0,Yes,Yes,61,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),76.8,4735.91,No
VQTJ-5540,Male,0,Yes,No,9,Yes,Yes,No,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.36,693.31,No
HULL-4635,Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,27.11,1937.01,No
MTOC-6731,Male,0,Yes,Yes,51,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,104.52,5107.08,Yes
JSQX-2969,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.92,2805.24,No
EZUW-8409,Female,0,No,No,15,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.06,1188.86,No
ZAOB-5874,Male,0,Yes,Yes,9,Yes,No phone service,No,Yes,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),57.29,544.62,Yes
APGE-5629,Male,0,No,No,14,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,77.97,1003.12,No
PSEV-8403,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No,Two year,Yes,Mailed check,28.85,670.94,No
ELPZ-9463,Female,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),24.4,1355.3,No
AEWZ-9543,Male,0,No,No,14,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,No,Credit card (automatic),87.5,1172.23,No
BTJZ-2907,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),20.18,98.05,No
EMDP-7610,Female,0,No,No,0,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,74.4, ,Yes
TXLR-2002,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),91.69,2923.86,Yes
KELC-0079,Female,0,No,Yes,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,62.39, ,No
KLML-1212,Male,1,Yes,Yes,37,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),101.13,3743.51,No
WQZH-9991,Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.32,2450.76,No
SIGD-9417,Male,1,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),100.88,1110.1,No
DYUY-3948,Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,74.12,4516.45,No
XCQC-3106,Male,0,Yes,No,9,No,Yes,DSL,No,No,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.07,267.81,Yes
XWEL-0668,Male,0,No,Yes,26,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,92.66,2400.25,Yes
CIQQ-3852,Female,0,No,No,38,Yes,No,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,110.01,4427.23,No
QDLI-2863,Male,0,No,No,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,41.45,2787.65,Yes
SZOP-4428,Female,1,Yes,No,69,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.72,2424.86,No
TUDU-6864,Female,0,Yes,No,44,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),88.58,4109.73,Yes
JZGN-9426,Female,0,No,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),115.11,1070.71,No
KKRO-8990,Female,0,Yes,No,23,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,69.92,1686.2,No
FGNM-7981,Male,0,No,No,56,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),25.54,1555.62,No
ZBEE-5270,Male,0,No,Yes,39,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,38.29,1368.59,No
VTQG-8335,Female,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,89.57,3390.48,No
SLVG-9926,Male,0,Yes,No,2,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,42.01,84.6,Yes
CMMR-9378,Male,0,Yes,Yes,67,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),80.04,5017.45,Yes
GACM-8087,Female,0,No,Yes,67,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Electronic check,66.37,4558.44,No
AFUF-9454,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.08, ,Yes
KEDC-2381,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,51.65,2137.92,No
OIQN-0455,Male,0,No,No,30,Yes,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),21.56,676.46,No
CPWY-9757,Male,0,Yes,No,36,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,24.73,939.23,No
UHZD-9791,Female,0,No,No,68,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,77.37,5132.01,No
EIDV-0804,Female,0,Yes,No,42,Yes,No,No,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),27.29,1181.37,No
TMPM-2512,Female,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,57.48,180.0,No
EOYB-9714,Male,0,Yes,No,70,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,One year,No,Mailed check,78.71,5569.99,No
WXAV-0104,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),52.5,1519.4,Yes
ZYVQ-0182,Male,0,No,No,10,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,59.32,650.46,Yes
AUPW-5044,Female,0,Yes,No,32,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,104.89,3391.42,No
FCUW-4449,Male,0,Yes,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),95.64,5150.01,Yes
JSQU-8023,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,111.82,1944.36,Yes
AQHB-7699,Female,0,No,No,11,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,One year,No,Bank transfer (automatic),110.87,1302.26,No
BVVC-1054,Female,0,Yes,Yes,0,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,91.51, ,Yes
YQPO-6441,Male,0,No,No,55,Yes,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),60.09,3233.47,Yes
KSGF-1511,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.49,1352.01,Yes
ROSB-3850,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,69.21,417.49,Yes
XOWJ-2043,Female,0,No,No,40,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.96,2699.94,Yes
JXQJ-0374,Female,0,Yes,Yes,52,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),55.13,2745.33,Yes
BFUB-2866,Male,1,No,Yes,6,Yes,No,No,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),52.51,286.53,No
PKVP-7373,Female,0,No,No,65,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,20.39,1283.74,Yes
XYCC-1922,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,57.06,3153.19,Yes
UERJ-5450,Female,0,Yes,Yes,4,No,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,77.92,337.27,No
EILZ-1098,Male,1,No,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),71.31,2678.48,Yes
ZYOY-5709,Female,0,No,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.9,1994.95,Yes
DAHQ-2375,Female,0,Yes,No,10,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),84.72,883.32,No
NZWN-7197,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Credit card (automatic),33.42,2001.38,No
SGCO-6195,Male,0,Yes,No,20,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,89.46,1780.94,No
CSOY-6496,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,61.03,191.05,Yes
YQGV-9803,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,No,Electronic check,116.37,3656.12,No
YDJC-8135,Male,1,Yes,No,34,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.2,2620.98,Yes
BOHH-0298,Male,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No internet service,Yes,One year,No,Mailed check,113.46,3932.38,No
EFTZ-1754,Male,1,No,No,38,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No,Two year,No,Electronic check,86.39,3442.94,No
YAUV-4556,Male,0,No,No,32,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),29.19,934.34,Yes
PDKX-6862,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Mailed check,117.65,7791.7,No
SHED-7513,Female,0,Yes,No,43,No,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),93.46,3713.07,No
KDOF-5075,Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),81.95,4184.44,Yes
SYBO-7924,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,91.79,3085.67,Yes
FZVD-2303,Female,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),92.6,3491.55,No
QLOA-9543,Male,1,Yes,Yes,44,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,44.74,1963.04,No
MKCA-5179,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),22.0,695.5,No
EWJL-1713,Male,0,No,No,34,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,No,Mailed check,22.52,700.13,Yes
AEIQ-8756,Female,0,Yes,No,27,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),64.76,1789.3,Yes
CQEL-1478,Female,0,No,No,40,Yes,No,DSL,No internet service,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),40.13,1474.73,No
BLCC-0757,Male,0,No,No,44,Yes,No,No,No,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,67.94,3242.94,No
KIEN-2444,Male,0,No,No,47,No,No,No,No,No,No,No,No internet service,No,One year,No,Bank transfer (automatic),117.86,5839.82,Yes
SNZD-8981,Female,1,No,No,54,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,One year,No,Bank transfer (automatic),62.44,3402.68,Yes
HHGH-2506,Female,0,Yes,No,7,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.28,481.62,No
OAYQ-0614,Female,0,No,Yes,25,Yes,No,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,19.22,485.9,No
HHSG-2552,Male,0,No,No,28,No,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Two year,Yes,Mailed check,98.28,2987.35,No
GSHJ-3036,Female,0,Yes,Yes,54,Yes,No,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,111.92,5551.75,No
DFYA-4603,Male,0,Yes,No,65,No,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,101.84,6646.68,No
VBJE-9055,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,No,Mailed check,37.16,2432.06,No
MODM-7377,Male,0,Yes,No,47,Yes,No,DSL,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,85.62,4233.87,No
EODL-1223,Male,0,No,No,6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,54.71,330.05,No
DZKE-3975,Male,1,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),33.93,158.09,No
FHWO-9971,Male,0,Yes,No,36,Yes,No phone service,No,No,No,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,92.95,3445.37,Yes
YAOH-3347,Male,0,No,No,8,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,35.0,278.14,No
EHJQ-9852,Female,0,No,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,19.07,40.77,Yes
NHIV-6044,Male,0,No,No,52,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,41.85,2014.64,No
ZNDV-6805,Male,1,Yes,No,7,No,No,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Electronic check,22.6,167.06,No
WSHO-4848,Female,0,Yes,No,39,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.46,3952.58,No
JTYU-9823,Female,0,No,No,16,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.03,361.85,No
YZKF-1611,Male,0,Yes,No,69,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,27.81,2029.02,Yes
QKLS-5786,Female,0,Yes,No,46,No,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.26,1444.53,No
TFUX-0059,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,27.91,305.51,Yes
RUQG-0380,Male,0,No,Yes,9,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,64.72,531.6,No
TVVH-0606,Female,0,Yes,No,60,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),81.91,5126.08,No
SXSQ-7210,Male,0,Yes,Yes,1,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,51.71,55.7,No
NSOR-1501,Female,0,No,No,28,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,50.59,1394.56,No
FSDA-7662,Male,0,Yes,Yes,69,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,56.23,3606.92,Yes
JJSN-1066,Female,0,No,No,50,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.18,4376.58,Yes
RGHA-8627,Male,0,No,No,65,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.45,1583.46,Yes
WHVY-4220,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),117.28,7988.81,Yes
OHBC-7733,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),114.79,6121.68,No
EVUN-6169,Male,0,Yes,No,40,No,Yes,No,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),66.97,2487.79,Yes
GAWU-2231,Female,0,Yes,Yes,63,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,27.95,1593.43,No
BAOE-3912,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),73.33,221.93,No
WWLT-4458,Female,0,Yes,No,0,Yes,No phone service,No,No,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,96.45, ,No
BULC-3957,Female,0,No,Yes,6,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,80.33,518.71,Yes
QJXN-6012,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),97.44,745.13,No
QNIH-1868,Male,0,Yes,No,57,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,45.3,2366.52,No
VVKN-3991,Female,0,No,No,9,No,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),34.33,288.51,No
WEKF-1493,Female,0,Yes,No,65,No,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.39,3794.82,No
IFBQ-4859,Male,0,No,No,21,Yes,No,No,No internet service,No,No,No,No,No,Two year,No,Credit card (automatic),30.63,680.33,Yes
LWUJ-5485,Male,0,Yes,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,100.31,4962.12,No
HBLM-8469,Male,0,No,No,48,Yes,Yes,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,51.45,2378.36,No
