gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,avg_monthly_spend
Male,0,1,0,19,1,Yes,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,1,Electronic check,81.46,1557.08,0,1-2 years,81.95
Female,0,0,1,63,1,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),50.73,3238.78,0,4+ years,51.41
Female,0,0,0,19,1,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,Yes,One year,1,Bank transfer (automatic),34.79,716.61,0,1-2 years,37.72
Female,0,1,0,39,1,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,One year,1,Mailed check,51.62,2115.56,1,2-4 years,54.25
Female,0,0,1,29,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,0,Mailed check,101.62,3087.38,0,2-4 years,106.46
Female,0,1,0,22,1,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,1,Bank transfer (automatic),43.81,878.13,0,1-2 years,39.92
Female,0,1,0,22,1,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,1,Bank transfer (automatic),69.93,1604.1,0,1-2 years,72.91
Female,0,1,0,55,1,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,0,Mailed check,30.58,1583.84,1,4+ years,28.8
Female,0,0,1,46,1,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Mailed check,98.23,4917.72,0,2-4 years,106.91
Male,1,1,1,16,1,No phone service,DSL,Yes,No,Yes,Yes,No,No internet service,One year,1,Electronic check,98.8,1621.85,0,1-2 years,101.37
Female,0,1,0,1,1,No phone service,DSL,No,No,No,No,No,Yes,One year,1,Electronic check,53.23,58.53,0,0-1 year,58.53
Male,0,1,1,32,1,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),37.82,1302.48,0,2-4 years,40.7
Female,1,0,0,14,1,No,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,1,Mailed check,61.95,923.55,1,1-2 years,65.97
Male,0,1,0,31,1,No,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,0,Electronic check,106.29,3602.88,0,2-4 years,116.22
Female,0,0,1,33,1,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,59.9,1923.57,1,2-4 years,58.29
Female,0,1,1,59,0,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),108.0,6781.64,0,4+ years,114.94
Male,0,1,1,30,1,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Month-to-month,1,Electronic check,109.11,3034.97,0,2-4 years,101.17
Male,0,1,0,14,1,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,1,Credit card (automatic),95.36,1415.57,0,1-2 years,101.11
Female,0,0,0,19,1,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Two year,0,Electronic check,69.25,1371.28,1,1-2 years,72.17
Female,0,0,0,30,1,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,0,Credit card (automatic),84.98,2304.2,0,2-4 years,76.81
Male,0,0,0,1,1,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),35.76,32.85,1,0-1 year,32.85
Female,1,1,0,12,1,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,1,Electronic check,52.02,589.84,0,0-1 year,49.15
Male,1,1,0,15,1,No,Fiber optic,No,No,Yes,No,No,No,Two year,1,Electronic check,63.73,969.85,1,1-2 years,64.66
Female,0,1,0,14,1,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,34.45,440.87,0,1-2 years,31.49
Female,0,0,0,24,1,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,1,Bank transfer (automatic),113.72,2999.5,0,1-2 years,124.98
Male,0,0,1,27,0,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,1,Electronic check,49.71,1416.52,0,2-4 years,52.46
Female,0,0,1,11,1,No,No,No,Yes,Yes,No,No,No,Two year,1,Credit card (automatic),56.38,631.07,1,0-1 year,57.37
Female,0,1,1,53,1,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,1,Mailed check,29.82,1562.02,0,4+ years,29.47
Female,0,0,0,57,0,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,1,Electronic check,44.57,2525.68,0,4+ years,44.31
Male,0,1,0,15,1,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,0,Credit card (automatic),33.28,475.06,0,1-2 years,31.67
Female,0,1,1,61,1,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,1,Credit card (automatic),76.8,4735.91,0,4+ years,77.64
Male,0,1,0,9,1,Yes,No,Yes,No,No internet service,No,No,Yes,Month-to-month,1,Bank transfer (automatic),75.36,693.31,0,0-1 year,77.03
Male,0,1,0,65,1,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,0,Mailed check,27.11,1937.01,0,4+ years,29.8
Male,0,1,1,51,1,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,0,Electronic check,104.52,5107.08,1,4+ years,100.14
Male,0,0,0,29,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),96.92,2805.24,0,2-4 years,96.73
Female,0,0,0,15,1,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,1,Electronic check,74.06,1188.86,0,1-2 years,79.26
Male,0,1,1,9,1,No phone service,No,Yes,No,No,No,No internet service,No,Month-to-month,0,Bank transfer (automatic),57.29,544.62,1,0-1 year,60.51
Male,0,0,0,14,1,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,1,Mailed check,77.97,1003.12,0,1-2 years,71.65
Female,0,1,1,25,1,No,Fiber optic,No,No,No,Yes,No internet service,No,Two year,1,Mailed check,28.85,670.94,0,2-4 years,26.84
Female,0,1,0,60,1,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,0,Bank transfer (automatic),24.4,1355.3,0,4+ years,22.59
Male,0,0,0,14,1,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,0,Credit card (automatic),87.5,1172.23,0,1-2 years,83.73
Male,0,1,0,5,1,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,0,Bank transfer (automatic),20.18,98.05,0,0-1 year,19.61
Female,0,0,0,0,1,No phone service,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,1,Electronic check,74.4,1955.46,1,0-1 year,74.4
Female,0,1,0,34,1,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,0,Bank transfer (automatic),91.69,2923.86,1,2-4 years,86.0
Female,0,0,1,0,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,1,Electronic check,62.39,1955.46,0,0-1 year,62.39
Male,1,1,1,37,1,No,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,1,Credit card (automatic),101.13,3743.51,0,2-4 years,101.18
Male,0,1,0,40,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,65.32,2450.76,0,2-4 years,61.27
Male,1,0,0,11,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),100.88,1110.1,0,0-1 year,100.92
Female,0,1,0,63,1,No,Fiber optic,No,No,No,No,Yes,No,One year,0,Electronic check,74.12,4516.45,0,4+ years,71.69
Male,0,1,0,9,0,Yes,DSL,No,No,No,No,No internet service,No internet service,Two year,1,Credit card (automatic),29.07,267.81,1,0-1 year,29.76
Male,0,0,1,26,1,No,DSL,No,Yes,No,No,Yes,No internet service,One year,1,Mailed check,92.66,2400.25,1,2-4 years,92.32
Female,0,0,0,38,1,No,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,1,Mailed check,110.01,4427.23,0,2-4 years,116.51
Male,0,0,0,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,0,Mailed check,41.45,2787.65,1,4+ years,39.82
Female,1,1,0,69,1,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,1,Bank transfer (automatic),36.72,2424.86,0,4+ years,35.14
Female,0,1,0,44,1,Yes,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,1,Bank transfer (automatic),88.58,4109.73,1,2-4 years,93.4
Female,0,0,1,10,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),115.11,1070.71,0,0-1 year,107.07
Female,0,1,0,23,1,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,1,Electronic check,69.92,1686.2,0,1-2 years,73.31
Male,0,0,0,56,1,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,Two year,1,Bank transfer (automatic),25.54,1555.62,0,4+ years,27.78
Male,0,0,1,39,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,38.29,1368.59,0,2-4 years,35.09
Female,0,1,0,36,1,Yes,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,1,Mailed check,89.57,3390.48,0,2-4 years,94.18
Male,0,1,0,2,0,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,42.01,84.6,1,0-1 year,42.3
Male,0,1,1,67,1,No,DSL,No internet service,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),80.04,5017.45,1,4+ years,74.89
Female,0,0,1,67,1,Yes,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,0,Electronic check,66.37,4558.44,0,4+ years,68.04
Male,0,1,1,0,1,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,1,Electronic check,93.08,1955.46,1,0-1 year,93.08
Female,0,1,0,44,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,0,Electronic check,51.65,2137.92,0,2-4 years,48.59
Male,0,0,0,30,1,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,1,Credit card (automatic),21.56,676.46,0,2-4 years,22.55
Male,0,1,0,36,1,No,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,1,Mailed check,24.73,939.23,0,2-4 years,26.09
Female,0,0,0,68,1,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,1,Electronic check,77.37,5132.01,0,4+ years,75.47
Female,0,1,0,42,1,No,No,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),27.29,1181.37,0,2-4 years,28.13
Female,0,0,1,3,1,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,0,Electronic check,57.48,180.0,0,0-1 year,60.0
Male,0,1,0,70,1,Yes,DSL,No,No internet service,No,No,No,Yes,One year,0,Mailed check,78.71,5569.99,0,4+ years,79.57
Male,0,1,0,28,1,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,One year,1,Bank transfer (automatic),52.5,1519.4,1,2-4 years,54.26
Male,0,0,0,10,1,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,1,Mailed check,59.32,650.46,1,0-1 year,65.05
Female,0,1,0,32,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,104.89,3391.42,0,2-4 years,105.98
Male,0,1,0,52,1,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,1,Credit card (automatic),95.64,5150.01,1,4+ years,99.04
Female,0,1,0,16,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,0,Electronic check,111.82,1944.36,1,1-2 years,121.52
Female,0,0,0,11,1,Yes,Fiber optic,No internet service,No,No,No,Yes,No,One year,0,Bank transfer (automatic),110.87,1302.26,0,0-1 year,118.39
Female,0,1,1,0,1,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,91.51,1955.46,1,0-1 year,91.51
Male,0,0,0,55,1,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),60.09,3233.47,1,4+ years,58.79
Female,0,1,0,22,1,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),58.49,1352.01,1,1-2 years,61.46
Male,0,0,0,6,1,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Two year,1,Electronic check,69.21,417.49,1,0-1 year,69.58
Female,0,0,0,40,1,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),71.96,2699.94,1,2-4 years,67.5
Female,0,1,1,52,1,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,1,Credit card (automatic),55.13,2745.33,1,4+ years,52.79
Male,1,0,1,6,1,No,No,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,0,Credit card (automatic),52.51,286.53,0,0-1 year,47.76
Female,0,0,0,65,1,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,1,Electronic check,20.39,1283.74,1,4+ years,19.75
Male,0,0,0,52,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,57.06,3153.19,1,4+ years,60.64
Female,0,1,1,4,0,Yes,DSL,Yes,Yes,No,No,No,No,Two year,0,Mailed check,77.92,337.27,0,0-1 year,84.32
Male,1,0,0,35,1,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,1,Credit card (automatic),71.31,2678.48,1,2-4 years,76.53
Female,0,0,0,43,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Credit card (automatic),50.9,1994.95,1,2-4 years,46.39
Female,0,1,0,10,1,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,0,Bank transfer (automatic),84.72,883.32,0,0-1 year,88.33
Female,0,0,0,63,1,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Two year,1,Credit card (automatic),33.42,2001.38,0,4+ years,31.77
Male,0,1,0,20,1,No,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,0,Electronic check,89.46,1780.94,0,1-2 years,89.05
Female,0,0,0,3,1,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Two year,1,Electronic check,61.03,191.05,1,0-1 year,63.68
Female,0,1,1,34,1,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,0,Electronic check,116.37,3656.12,0,2-4 years,107.53
Male,1,1,0,34,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),78.2,2620.98,1,2-4 years,77.09
Male,0,0,0,34,1,Yes,DSL,No,No,No,Yes,No internet service,Yes,One year,0,Mailed check,113.46,3932.38,0,2-4 years,115.66
Male,1,0,0,38,1,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No,Two year,0,Electronic check,86.39,3442.94,0,2-4 years,90.6
Male,0,0,0,32,1,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,1,Bank transfer (automatic),29.19,934.34,1,2-4 years,29.2
Female,0,1,0,67,1,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,0,Mailed check,117.65,7791.7,0,4+ years,116.29
Female,0,1,0,43,0,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Two year,1,Credit card (automatic),93.46,3713.07,0,2-4 years,86.35
Female,0,1,0,50,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,1,Credit card (automatic),81.95,4184.44,1,4+ years,83.69
Female,0,1,0,37,1,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,91.79,3085.67,1,2-4 years,83.4
Female,0,0,0,41,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),92.6,3491.55,0,2-4 years,85.16
Male,1,1,1,44,1,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,1,Mailed check,44.74,1963.04,0,2-4 years,44.61
Female,0,1,1,29,1,Yes,Fiber optic,No,No,No,No,No,No,One year,0,Bank transfer (automatic),22.0,695.5,0,2-4 years,23.98
Male,0,0,0,34,1,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,0,Mailed check,22.52,700.13,1,2-4 years,20.59
Female,0,1,0,27,1,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,0,Credit card (automatic),64.76,1789.3,1,2-4 years,66.27
Female,0,0,0,40,1,No,DSL,No internet service,Yes,No,No,No,No,One year,1,Bank transfer (automatic),40.13,1474.73,0,2-4 years,36.87
Male,0,0,0,44,1,No,No,No,No,No internet service,No internet service,No,No,Two year,1,Mailed check,67.94,3242.94,0,2-4 years,73.7
Male,0,0,0,47,0,No,No,No,No,No,No,No internet service,No,One year,0,Bank transfer (automatic),117.86,5839.82,1,2-4 years,124.25
Female,1,0,0,54,1,No,DSL,Yes,No internet service,No,No,Yes,No,One year,0,Bank transfer (automatic),62.44,3402.68,1,4+ years,63.01
Female,0,1,0,7,1,Yes,DSL,No,No,No internet service,No,No,Yes,Month-to-month,1,Credit card (automatic),64.28,481.62,0,0-1 year,68.8
Female,0,0,1,25,1,No,DSL,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,1,Mailed check,19.22,485.9,0,2-4 years,19.44
Male,0,0,0,28,0,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Two year,1,Mailed check,98.28,2987.35,0,2-4 years,106.69
Female,0,1,1,54,1,No,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,0,Electronic check,111.92,5551.75,0,4+ years,102.81
Male,0,1,0,65,0,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,0,Electronic check,101.84,6646.68,0,4+ years,102.26
Male,0,1,0,69,1,No,Fiber optic,Yes,No internet service,No,No,No,No,Month-to-month,0,Mailed check,37.16,2432.06,0,4+ years,35.25
Male,0,1,0,47,1,No,DSL,Yes,No,No,No,No,No internet service,Month-to-month,1,Electronic check,85.62,4233.87,0,2-4 years,90.08
Male,0,0,0,6,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,54.71,330.05,0,0-1 year,55.01
Male,1,1,1,5,1,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Two year,0,Bank transfer (automatic),33.93,158.09,0,0-1 year,31.62
Male,0,1,0,36,1,No phone service,No,No,No,No internet service,No,No internet service,No internet service,Two year,0,Electronic check,92.95,3445.37,1,2-4 years,95.7
Male,0,0,0,8,1,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,1,Mailed check,35.0,278.14,0,0-1 year,34.77
Female,0,0,1,2,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,1,Mailed check,19.07,40.77,1,0-1 year,20.39
Male,0,0,0,52,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,41.85,2014.64,0,4+ years,38.74
Male,1,1,0,7,0,No,Fiber optic,No,No,No internet service,No,No,No,Two year,1,Electronic check,22.6,167.06,0,0-1 year,23.87
Female,0,1,0,39,0,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,93.46,3952.58,0,2-4 years,101.35
Female,0,0,0,16,1,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,1,Electronic check,23.03,361.85,0,1-2 years,22.62
Male,0,1,0,69,0,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,1,Electronic check,27.81,2029.02,1,4+ years,29.41
Female,0,1,0,46,0,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,1,Bank transfer (automatic),34.26,1444.53,0,2-4 years,31.4
Female,0,1,0,10,1,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,1,Electronic check,27.91,305.51,1,0-1 year,30.55
Male,0,0,1,9,1,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,1,Mailed check,64.72,531.6,0,0-1 year,59.07
Female,0,1,0,60,1,No phone service,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,0,Credit card (automatic),81.91,5126.08,0,4+ years,85.43
Male,0,1,1,1,1,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,51.71,55.7,0,0-1 year,55.7
Female,0,0,0,28,1,Yes,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,0,Electronic check,50.59,1394.56,0,2-4 years,49.81
Male,0,1,1,69,0,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,0,Electronic check,56.23,3606.92,1,4+ years,52.27
Female,0,0,0,50,1,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,1,Bank transfer (automatic),88.18,4376.58,1,4+ years,87.53
Male,0,0,0,65,1,No,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),22.45,1583.46,1,4+ years,24.36
Male,0,1,0,67,1,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,0,Bank transfer (automatic),117.28,7988.81,1,4+ years,119.24
Male,0,1,0,56,1,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,0,Credit card (automatic),114.79,6121.68,0,4+ years,109.32
Male,0,1,0,40,0,Yes,No,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,0,Bank transfer (automatic),66.97,2487.79,1,2-4 years,62.19
Female,0,1,1,63,1,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,1,Mailed check,27.95,1593.43,0,4+ years,25.29
Male,0,1,0,3,1,No,DSL,No,Yes,No,No internet service,Yes,No,One year,1,Bank transfer (automatic),73.33,221.93,0,0-1 year,73.98
Female,0,1,0,0,1,No phone service,No,No,No internet service,No,Yes,No,No,Month-to-month,0,Electronic check,96.45,1955.46,0,0-1 year,96.45
Female,0,0,1,6,1,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,0,Electronic check,80.33,518.71,1,0-1 year,86.45
Male,0,1,0,7,1,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,1,Credit card (automatic),97.44,745.13,0,0-1 year,106.45
Male,0,1,0,57,1,No,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,1,Electronic check,45.3,2366.52,0,4+ years,41.52
Female,0,0,0,9,0,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,0,Bank transfer (automatic),34.33,288.51,0,0-1 year,32.06
Female,0,1,0,65,0,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),64.39,3794.82,0,4+ years,58.38
Male,0,0,0,21,1,No,No,No internet service,No,No,No,No,No,Two year,0,Credit card (automatic),30.63,680.33,1,1-2 years,32.4
Male,0,1,1,51,1,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,1,Mailed check,100.31,4962.12,0,4+ years,97.3
Male,0,0,0,48,1,Yes,DSL,No internet service,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,51.45,2378.36,0,2-4 years,49.55
Male,0,1,0,66,1,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,0,Bank transfer (automatic),90.21,5853.49,0,4+ years,88.69
Female,0,1,0,3,1,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,Two year,1,Mailed check,108.85,314.42,0,0-1 year,104.81
Male,0,1,1,56,1,Yes,Fiber optic,Yes,No,No,No,No internet service,No,One year,0,Credit card (automatic),37.5,2185.95,0,4+ years,39.03
Male,0,0,0,68,1,No,Fiber optic,Yes,Yes,No,No,No,No,One year,0,Electronic check,42.55,2895.21,0,4+ years,42.58
Female,0,0,1,52,1,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),28.83,1536.5,0,4+ years,29.55
Male,0,0,0,54,1,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,0,Bank transfer (automatic),19.35,1019.35,0,4+ years,18.88
Female,0,0,1,23,1,Yes,DSL,No,Yes,No internet service,No,Yes,No internet service,Two year,0,Bank transfer (automatic),23.52,516.38,0,1-2 years,22.45
Male,0,0,0,11,1,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,0,Credit card (automatic),37.2,370.94,0,0-1 year,33.72
